stage,trial_id,is_default,train_row_count,valid_row_count,param_learning_rate,param_max_iter,param_max_leaf_nodes,param_max_depth,param_min_samples_leaf,param_l2_regularization,param_max_bins,split,model,sample_count,mean_error_m,median_error_m,rmse_m,p90_error_m,status,error_message,fit_seconds
screening,103,False,68245,155597,0.03,1000,127,8,128,0.001,255,valid,Tree tuning screening,155597,12.31316855840428,10.797335702054246,14.623245768009083,22.600826173644275,ok,,111.457
screening,104,False,68245,155597,0.1,800,63,8,16,0.01,128,valid,Tree tuning screening,155597,12.143682811808803,10.436667852465222,14.572988319144178,22.709078098277615,ok,,68.926
screening,105,False,68245,155597,0.1,800,127,6,32,0.1,64,valid,Tree tuning screening,155597,12.17054867778605,10.617860871809942,14.471191476804531,22.412117345558567,ok,,68.052
screening,106,False,68245,155597,0.01,300,31,4,16,0.0,128,valid,Tree tuning screening,155597,22.764672060139983,19.538711777033786,27.129108995916624,42.911741817005066,ok,,23.11
screening,107,False,68245,155597,0.03,800,127,4,16,0.001,255,valid,Tree tuning screening,155597,14.436632727850577,13.109436525734193,16.723014157810457,25.204459060715656,ok,,52.148
screening,108,False,68245,155597,0.08,800,31,4,64,0.1,64,valid,Tree tuning screening,155597,13.352942249006466,12.068420589544374,15.487108011052431,23.66430446389334,ok,,51.708
screening,109,False,68245,155597,0.08,300,127,4,16,0.01,64,valid,Tree tuning screening,155597,14.54122466097593,13.211715373868119,16.816815281989502,25.473599793031905,ok,,19.893
screening,110,False,68245,155597,0.05,200,31,10,64,0.01,255,valid,Tree tuning screening,155597,14.588648018053613,13.183304532902406,16.926235945249736,25.75938782388504,ok,,19.253
screening,111,False,68245,155597,0.02,200,15,4,64,0.0,128,valid,Tree tuning screening,155597,18.583209079916255,16.416787082606977,21.853808417889866,33.514310360879065,ok,,14.765
screening,112,False,68245,155597,0.1,200,15,8,128,1.0,128,valid,Tree tuning screening,155597,14.521117329485108,13.213543396504928,16.7857446063597,25.4719985705108,ok,,13.697
screening,113,False,68245,155597,0.03,200,63,4,64,0.01,255,valid,Tree tuning screening,155597,16.65617641955104,15.02179989216627,19.385636913112318,29.354862581851517,ok,,14.581
screening,114,False,68245,155597,0.08,1000,15,10,128,0.01,128,valid,Tree tuning screening,155597,12.589635539071349,11.306353890525772,14.67922092389482,22.52240163935108,ok,,58.79
screening,115,False,68245,155597,0.05,1000,63,None,32,0.0,128,valid,Tree tuning screening,155597,12.131117943658955,10.602448232437467,14.42175505018236,22.33352494547269,ok,,82.709
screening,116,False,68245,155597,0.05,1000,15,10,16,0.001,64,valid,Tree tuning screening,155597,13.445759791998977,12.191109349265407,15.572411373439191,23.74655228185467,ok,,56.54
screening,117,False,68245,155597,0.05,800,15,4,32,0.0,64,valid,Tree tuning screening,155597,13.920971274695864,12.635802270694029,16.104639461813807,24.512384961353032,ok,,52.375
screening,118,False,68245,155597,0.08,200,63,4,128,0.0,128,valid,Tree tuning screening,155597,15.009052520974054,13.646974641297508,17.369350780568,26.19218594720153,ok,,14.372
screening,119,False,68245,155597,0.01,800,63,8,16,0.0,255,valid,Tree tuning screening,155597,13.948445479803024,12.504945061342188,16.277583967424114,24.920062235045116,ok,,91.001
screening,120,False,68245,155597,0.05,200,127,8,64,0.001,128,valid,Tree tuning screening,155597,13.275327153759426,11.743740495723008,15.657219653590653,24.059299119499638,ok,,25.771
screening,121,False,68245,155597,0.01,800,15,6,16,0.01,64,valid,Tree tuning screening,155597,16.116589287444555,14.653666376528285,18.630091114295304,28.185643050877335,ok,,58.195
screening,122,False,68245,155597,0.08,300,31,None,16,1.0,128,valid,Tree tuning screening,155597,13.431297245905178,12.133227849013265,15.601552956818983,23.876518674478074,ok,,22.935
screening,123,False,68245,155597,0.01,300,63,4,16,0.001,255,valid,Tree tuning screening,155597,22.830353398863483,19.618157679625526,27.188477511476805,43.00854748719845,ok,,23.204
screening,124,False,68245,155597,0.01,1000,127,10,128,0.001,64,valid,Tree tuning screening,155597,13.173678385751785,11.675564578856964,15.513815553710316,23.826379027548494,ok,,133.966
screening,125,False,68245,155597,0.08,800,127,8,16,0.001,128,valid,Tree tuning screening,155597,11.985374570733562,10.187010015480858,14.4957907915462,22.728173300633053,ok,,91.858
screening,126,False,68245,155597,0.03,500,127,10,128,0.001,255,valid,Tree tuning screening,155597,12.70572311737695,11.157782130718113,15.066994017691748,23.205244901999542,ok,,69.496
screening,127,False,68245,155597,0.05,500,15,10,16,0.001,128,valid,Tree tuning screening,155597,14.181394754204986,12.86498171629759,16.39226059758793,24.959163716162795,ok,,30.577
screening,128,False,68245,155597,0.1,500,31,None,64,1.0,128,valid,Tree tuning screening,155597,12.496310683982875,11.132936078555664,14.666756225125003,22.5331817751903,ok,,35.744
screening,129,False,68245,155597,0.08,1000,15,10,32,0.0,128,valid,Tree tuning screening,155597,12.725783691027127,11.438430257778471,14.822491552292412,22.69981573151063,ok,,55.549
screening,130,False,68245,155597,0.08,500,127,None,128,1.0,255,valid,Tree tuning screening,155597,11.939053934099313,10.220634333241739,14.385568214232247,22.491915414256525,ok,,69.413
screening,131,False,68245,155597,0.08,800,127,6,32,0.01,64,valid,Tree tuning screening,155597,12.25230613562641,10.776998496470448,14.487309117879581,22.44617525973916,ok,,68.83
screening,132,False,68245,155597,0.1,300,63,8,128,0.01,255,valid,Tree tuning screening,155597,12.580436767677691,11.119440844529022,14.837552458309936,22.898692449924592,ok,,31.992
screening,133,False,68245,155597,0.05,200,63,4,128,1.0,128,valid,Tree tuning screening,155597,15.78964401887742,14.357970812489036,18.289241007668153,27.551573381987183,ok,,13.874
screening,134,False,68245,155597,0.01,1000,127,10,32,1.0,255,valid,Tree tuning screening,155597,13.038442089501375,11.508335506058526,15.398774375271394,23.651679203752103,ok,,146.493
screening,135,False,68245,155597,0.1,500,15,6,32,1.0,255,valid,Tree tuning screening,155597,13.397640934251227,12.108282727159402,15.575035400746762,23.748676115876798,ok,,31.1
screening,136,False,68245,155597,0.02,200,31,10,128,0.001,128,valid,Tree tuning screening,155597,16.70057978944016,14.791174321987064,19.65057680433455,30.10061814668776,ok,,19.58
screening,137,False,68245,155597,0.03,500,127,None,128,0.0,255,valid,Tree tuning screening,155597,12.429117243274458,10.903059693524751,14.772591481434123,22.762554658187728,ok,,74.501
screening,138,False,68245,155597,0.05,800,63,6,16,0.01,128,valid,Tree tuning screening,155597,12.50332216010156,11.070329334383088,14.718322342958453,22.732696557450218,ok,,69.33
screening,139,False,68245,155597,0.05,300,63,10,32,0.01,255,valid,Tree tuning screening,155597,13.170233672617181,11.762189774525464,15.424174330146833,23.572193386993366,ok,,32.336
screening,140,False,68245,155597,0.08,800,127,4,16,1.0,64,valid,Tree tuning screening,155597,13.421053672642744,12.14150334600722,15.567980886935596,23.835424207693336,ok,,51.986
screening,141,False,68245,155597,0.1,500,63,None,16,1.0,128,valid,Tree tuning screening,155597,12.277497006608174,10.750321365735987,14.571488178350911,22.57017369440858,ok,,41.207
screening,142,False,68245,155597,0.03,1000,31,4,64,1.0,128,valid,Tree tuning screening,155597,14.009117724564451,12.71292816806407,16.195600528689315,24.534397822790638,ok,,65.227
screening,143,False,68245,155597,0.05,200,63,10,16,0.1,255,valid,Tree tuning screening,155597,13.740203833870664,12.281798759915084,16.062136310477307,24.58662236592166,ok,,22.853
screening,144,False,68245,155597,0.03,500,31,4,64,0.01,64,valid,Tree tuning screening,155597,15.120201384909228,13.789453695552615,17.459680985142658,26.337285033710707,ok,,33.743
screening,145,False,68245,155597,0.05,1000,31,10,64,0.0,64,valid,Tree tuning screening,155597,12.751981695707933,11.395166405327215,14.92482089255981,22.95300040689823,ok,,68.591
screening,146,False,68245,155597,0.05,1000,63,6,128,0.1,255,valid,Tree tuning screening,155597,12.370708527228182,10.97790215662936,14.566111350506521,22.400237529605494,ok,,85.303
screening,147,False,68245,155597,0.1,800,63,6,16,1.0,128,valid,Tree tuning screening,155597,11.90609382166533,10.375193645441625,14.199000964067588,21.930970265110542,ok,,68.809
screening,148,False,68245,155597,0.05,500,15,None,16,1.0,128,valid,Tree tuning screening,155597,14.265503303084497,12.94508258779121,16.499671788348408,25.092577898783883,ok,,30.874
screening,149,False,68245,155597,0.02,1000,15,4,64,1.0,64,valid,Tree tuning screening,155597,14.83067939957749,13.49798359625939,17.146341179071236,25.888807338755687,ok,,64.916
full_confirm,0,True,444864,155597,0.05,300,31,6.0,32,0.0,255,valid,Tree tuning full_confirm,0,,,,,failed,"The 'max_depth' parameter of HistGradientBoostingRegressor must be an int in the range [1, inf) or None. Got 6.0 instead.",3.496
full_confirm,27,False,444864,155597,0.08,1000,127,8.0,32,0.001,128,valid,Tree tuning full_confirm,0,,,,,failed,"The 'max_depth' parameter of HistGradientBoostingRegressor must be an int in the range [1, inf) or None. Got 8.0 instead.",2.352
full_confirm,19,False,444864,155597,0.08,1000,127,6.0,16,0.1,128,valid,Tree tuning full_confirm,0,,,,,failed,"The 'max_depth' parameter of HistGradientBoostingRegressor must be an int in the range [1, inf) or None. Got 6.0 instead.",2.364
full_confirm,98,False,444864,155597,0.05,1000,127,10.0,128,0.01,64,valid,Tree tuning full_confirm,0,,,,,failed,"The 'max_depth' parameter of HistGradientBoostingRegressor must be an int in the range [1, inf) or None. Got 10.0 instead.",2.378
full_confirm,147,False,444864,155597,0.1,800,63,6.0,16,1.0,128,valid,Tree tuning full_confirm,0,,,,,failed,"The 'max_depth' parameter of HistGradientBoostingRegressor must be an int in the range [1, inf) or None. Got 6.0 instead.",2.562
